STATE,ST_CASE,VEH_NO,PVE_Forms,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PVINTYPE,PVINMAKE,PVINA_MOD,PVIN_BT,PVINMODYR,PVIN_LNGT,PVIN_WGT,PWGTCD_TR,PWHLBS_LG,PWHLBS_SH,PSER_TR,PFUECODE,PMCYCL_DS,PCARBUR,PCYLINDER,PDISPLACE,PMCYCL_CY,PMCYCL_WT,PTIRE_SZE,PTON_RAT,PTRK_WT,PTRKWTVAR,PVIN_REST,PWHLDRWHL,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
6,60053,4,3,0,11,1,12,35,12,1,2,0,6,6,19,3,19003,4,1995,1G6KD52B1SU2,1,G,6,K,D,5,2,B,1,S,U,2,P,CADI,DFW,4D,95,17,3664,,0,1138,,G,,F,8,300,,,15R215,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,2,4,12,0,0,0,0
6,60053,5,3,0,11,1,12,35,12,1,2,0,6,6,19,21,19021,4,2005,1G6DW6770501,1,G,6,D,W,6,7,7,0,5,0,1,P,CADI,CST,4D,5,17,3960,,0,1164,,G,,F,6,220,,,17R235,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,9,2,4,12,0,0,0,0
6,60064,2,1,0,13,1,1,30,33,0,3,0,6,6,49,40,49040,4,2005,JTDBF32K0501,J,T,D,B,F,3,2,K,0,5,0,1,P,TOYT,XLL,4D,5,17,3108,,0,1071,,G,,F,6,183,,,15R205,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,2,4,12,0,0,0,0
6,60116,2,1,0,29,1,1,25,14,0,2,0,6,6,12,461,12461,21,2008,1FBNE31L28DA,1,F,B,N,E,3,1,L,2,8,D,A,P,FORD,ECO,SV,8,17,0,,0,1380,,G,,F,8,330,,,16R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,3,14,0,0,0,0
6,60125,2,1,0,18,1,19,35,14,0,2,0,6,6,59,32,59032,4,2004,JTHBN36F6401,J,T,H,B,N,3,6,F,6,4,0,1,P,LEXS,L43,4D,4,17,3945,,0,1152,,G,,F,8,262,,,17R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,2,14,0,0,0,0
6,60125,3,1,0,18,1,19,35,14,0,2,0,6,6,13,14,13014,6,2009,2LMDU68C99BJ,2,L,M,D,U,6,8,C,9,9,B,J,P,LINC,MKX,UT,9,17,4220,,0,1112,,G,,F,6,214,,,18R245,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,2,14,0,0,0,0
6,60126,2,1,0,19,1,5,45,14,0,2,0,6,6,18,23,18023,4,2008,1G4HP572X8U2,1,G,4,H,P,5,7,2,X,8,U,2,P,BUIC,UCX,4D,8,17,3761,,0,1156,,G,,F,6,232,,,16R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,14,0,0,0,0
6,60126,3,1,0,19,1,5,45,14,0,2,0,6,6,19,3,19003,4,1992,1G6CD53B4N42,1,G,6,C,D,5,3,B,4,N,4,2,P,CADI,DFW,4D,92,17,3591,,0,1138,,G,,F,8,300,,,15R205,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,4,14,0,0,0,0
6,60132,2,1,1,1,2,3,9,14,0,2,0,18,6,82,881,82881,66,2008,1FUJA6CKX8DZ,1,F,U,J,A,6,C,K,X,8,D,Z,T,FRHT,COL,TR,8,17,,8,0,0,CON,D,,,6,855,,,,,00000,00,,64,1,57,054283,57054283,3,6,3,1,0,0,0,0,0,0,0,0,6,2,4,14,0,0,0,0
6,60149,3,2,0,22,1,8,1,12,6,2,0,6,6,12,471,12471,30,2000,1FTYR14V7YPA,1,F,T,Y,R,1,4,V,7,Y,P,A,T,FORD,RNS,PC,0,17,,1,0,1257,RNG,F,,,6,182,,,,B,3271,01,U,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,4,12,0,0,0,0
