STATE,ST_CASE,VEH_NO,PER_NO,MPR_ACT
6,62546,0,1,2
6,62551,0,1,3
6,62552,0,1,3
6,62554,0,1,12
6,62555,0,1,3
6,62556,0,1,3
6,62557,0,1,6
6,62557,0,1,9
6,62557,0,2,6
6,62557,0,2,9
6,62557,0,3,6
6,62557,0,3,9
6,62558,0,1,3
6,62559,0,1,3
6,62564,0,1,8
6,62569,0,1,3
6,62572,0,1,11
6,62572,0,2,11
6,62573,0,1,3
6,62574,0,1,3
6,62574,0,2,3
6,62575,0,1,3
6,62576,0,1,3
6,62580,0,1,3
6,62583,0,1,3
6,62590,0,1,3
6,62591,0,1,3
6,62593,0,1,3
6,62599,0,1,3
6,62602,0,1,8
6,62605,0,1,3
6,62607,0,1,5
6,62608,0,1,3
6,62610,0,1,3
6,62613,0,1,3
6,62614,0,1,3
6,62617,0,1,3
6,62620,0,1,3
6,62621,0,1,3
6,62627,0,1,3
6,62631,0,1,12
6,62636,0,1,5
6,62636,0,2,5
6,62639,0,1,3
6,62640,0,1,12
6,62642,0,1,14
6,62644,0,1,3
6,62645,0,1,3
6,62646,0,1,3
6,62647,0,1,12
6,62648,0,1,5
6,62650,0,1,3
6,62650,0,2,3
6,62651,0,1,99
6,62653,0,1,3
6,62653,0,2,3
6,62654,0,1,7
6,62657,0,1,3
6,62658,0,1,5
6,62659,0,1,3
6,62660,0,1,9
6,62660,0,2,9
6,62660,0,3,9
6,62661,0,1,3
6,62662,0,1,5
6,62666,0,1,5
6,62672,0,1,2
6,62673,0,1,3
6,62676,0,1,3
6,62677,0,1,99
6,62680,0,1,3
6,62685,0,1,8
6,62686,0,1,3
6,62689,0,1,3
6,62690,0,1,99
6,62692,0,1,3
6,62696,0,1,12
6,62698,0,1,3
6,62699,0,1,8
6,62701,0,1,3
6,62704,0,1,5
6,62705,0,1,3
6,62709,0,1,3
6,62710,0,1,3
6,62711,0,1,3
6,62712,0,1,8
6,62715,0,1,8
6,62716,0,1,3
6,62718,0,1,3
