STATE,ST_CASE,EVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10193,1,1,55,63,5555,55
1,10193,2,1,12,42,9999,77
1,10193,3,1,0,2,9999,77
1,10194,1,1,12,11,9999,77
1,10194,2,1,55,63,5555,55
1,10194,3,1,0,1,9999,77
1,10194,4,1,12,42,9999,77
1,10195,1,1,55,63,5555,55
1,10195,2,1,1,24,9999,77
1,10195,3,1,12,23,9999,77
1,10195,4,1,0,1,9999,77
1,10195,5,1,0,2,9999,77
1,10196,1,2,12,12,1,6
1,10196,2,3,12,8,9999,77
1,10197,1,1,12,12,2,6
1,10198,1,1,55,68,5555,55
1,10198,2,1,55,64,5555,55
1,10198,3,1,12,42,9999,77
1,10199,1,1,55,68,5555,55
1,10199,2,1,55,64,5555,55
1,10199,3,1,55,69,5555,55
1,10199,4,1,55,68,5555,55
1,10199,5,1,55,63,5555,55
1,10199,6,1,12,42,9999,77
1,10199,7,1,0,1,9999,77
1,10200,1,1,55,63,5555,55
1,10200,2,1,12,59,9999,77
1,10200,3,1,9,58,9999,77
1,10200,4,1,0,1,9999,77
1,10201,1,2,12,12,1,7
1,10202,1,1,55,68,5555,55
1,10202,2,1,55,64,5555,55
1,10202,3,1,12,53,9999,77
1,10202,4,1,12,24,9999,77
1,10202,5,1,0,1,9999,77
1,10203,1,1,55,63,5555,55
1,10203,2,1,12,30,9999,77
1,10204,1,1,55,63,5555,55
1,10204,2,1,12,42,9999,77
1,10204,3,1,0,1,9999,77
1,10205,1,1,12,12,2,1
1,10205,2,1,55,68,5555,55
1,10205,3,1,12,12,3,12
1,10206,1,1,55,63,5555,55
1,10206,2,1,14,32,9999,77
1,10207,1,1,0,1,9999,77
1,10208,1,1,55,64,5555,55
1,10208,2,1,98,34,9999,77
1,10208,3,1,55,65,5555,55
1,10208,4,1,55,64,5555,55
1,10208,5,1,9,42,9999,77
1,10209,1,1,55,63,5555,55
1,10209,2,1,0,1,9999,77
1,10209,3,1,13,42,9999,77
1,10210,1,1,12,11,9999,77
1,10210,2,1,55,63,5555,55
1,10210,3,1,12,42,9999,77
1,10211,1,1,55,63,5555,55
1,10211,2,1,12,34,9999,77
1,10211,3,1,12,41,9999,77
1,10211,4,1,12,42,9999,77
1,10212,1,1,12,12,2,10
1,10212,2,2,0,1,9999,77
1,10213,1,1,55,68,5555,55
1,10213,2,1,12,12,2,12
1,10214,1,2,12,12,1,3
1,10215,1,1,12,12,2,6
1,10216,1,2,12,12,1,9
1,10217,1,1,55,63,5555,55
1,10217,2,1,12,30,9999,77
1,10218,1,1,55,68,5555,55
1,10218,2,1,55,64,5555,55
1,10218,3,1,55,69,5555,55
1,10218,4,1,55,68,5555,55
1,10218,5,1,55,63,5555,55
1,10218,6,1,55,69,5555,55
1,10218,7,1,55,68,5555,55
1,10218,8,1,55,64,5555,55
1,10218,9,1,3,42,9999,77
1,10218,10,1,0,1,9999,77
1,10219,1,1,12,12,2,6
1,10219,2,1,55,68,5555,55
1,10219,3,1,12,12,3,12
1,10219,4,3,55,63,5555,55
1,10219,5,3,0,1,9999,77
1,10219,6,3,19,42,9999,77
1,10220,1,1,55,68,5555,55
1,10220,2,1,12,12,2,12
1,10220,3,2,55,68,5555,55
1,10220,4,2,55,64,5555,55
1,10220,5,2,0,1,9999,77
1,10220,6,2,12,30,9999,77
1,10221,1,1,55,68,5555,55
1,10221,2,1,4,12,2,12
1,10221,3,2,55,63,5555,55
1,10221,4,2,98,59,9999,77
1,10222,1,1,55,64,5555,55
1,10222,2,1,3,42,9999,77
1,10222,3,1,0,1,9999,77
1,10222,4,1,81,14,2,81
1,10223,1,1,12,8,9999,77
1,10224,1,1,55,68,5555,55
1,10224,2,1,12,12,2,12
1,10225,1,1,55,63,5555,55
1,10225,2,1,0,1,9999,77
1,10225,3,1,4,42,9999,77
1,10225,4,1,12,35,9999,77
1,10225,5,1,4,42,9999,77
1,10226,1,1,55,63,5555,55
1,10226,2,1,55,69,5555,55
1,10226,3,1,55,68,5555,55
1,10226,4,1,55,64,5555,55
1,10226,5,1,12,42,9999,77
1,10227,1,1,55,64,5555,55
1,10227,2,1,55,69,5555,55
1,10227,3,1,0,1,9999,77
1,10228,1,1,12,8,9999,77
1,10229,1,1,11,12,2,9
1,10230,1,1,0,5,9999,77
1,10230,2,1,19,54,2,14
1,10231,1,2,12,12,1,9
1,10231,2,1,98,12,3,8
1,10232,1,1,55,64,5555,55
1,10232,2,1,55,69,5555,55
1,10232,3,1,55,64,5555,55
1,10232,4,1,3,30,9999,77
1,10233,1,1,55,64,5555,55
1,10233,2,1,8,59,9999,77
1,10233,3,1,55,65,5555,55
1,10233,4,2,12,12,1,61
1,10234,1,1,55,68,5555,55
1,10234,2,1,55,64,5555,55
