STATE,ST_CASE,EVENTNUM,VEH_NO,VEventNum,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10132,1,1,1,1,55,64,5555,55
1,10132,2,1,2,1,12,34,9999,77
1,10132,3,1,3,1,0,1,9999,77
1,10132,4,1,4,1,0,3,9999,77
1,10133,1,1,1,1,55,63,5555,55
1,10133,2,1,2,1,55,69,5555,55
1,10133,3,1,3,1,55,68,5555,55
1,10133,4,1,4,1,55,64,5555,55
1,10133,5,1,5,1,12,59,9999,77
1,10133,6,1,6,1,10,30,9999,77
1,10133,7,1,7,1,55,67,5555,55
1,10133,8,1,8,1,0,1,9999,77
1,10134,1,1,1,1,55,64,5555,55
1,10134,2,1,2,1,55,69,5555,55
1,10134,3,1,3,1,55,68,5555,55
1,10134,4,1,4,1,55,63,5555,55
1,10134,5,1,5,1,11,38,9999,77
1,10134,6,1,6,1,0,1,9999,77
1,10134,7,1,7,1,81,42,9999,77
1,10135,1,1,1,1,12,12,2,6
1,10135,2,1,2,1,12,12,3,12
1,10135,1,2,1,1,12,12,2,6
1,10135,2,3,1,1,12,12,3,12
1,10136,1,1,1,1,55,63,5555,55
1,10136,2,1,2,1,55,69,5555,55
1,10136,3,1,3,1,0,1,9999,77
1,10137,1,1,1,2,12,12,1,9
1,10137,1,2,1,2,12,12,1,9
1,10138,1,1,1,2,12,12,1,12
1,10138,1,2,1,2,12,12,1,12
1,10139,1,1,1,1,55,68,5555,55
1,10139,2,1,2,1,11,12,2,11
1,10139,2,2,1,1,11,12,2,11
1,10140,1,1,1,1,55,63,5555,55
1,10140,2,1,2,1,0,1,9999,77
1,10141,1,1,1,1,12,12,2,3
1,10141,1,2,1,1,12,12,2,3
1,10142,1,1,1,1,12,8,9999,77
1,10143,1,1,1,1,12,8,9999,77
1,10144,1,1,1,1,55,63,5555,55
1,10144,2,1,2,1,4,30,9999,77
1,10144,3,1,3,1,9,30,9999,77
1,10145,1,1,1,1,12,12,2,6
1,10145,1,2,1,1,12,12,2,6
1,10146,1,1,1,1,55,68,5555,55
1,10146,2,1,2,1,55,64,5555,55
1,10146,3,1,3,1,12,42,9999,77
1,10147,1,1,1,2,12,12,1,12
1,10147,1,2,1,2,12,12,1,12
1,10147,2,2,2,2,55,68,5555,55
1,10147,3,2,3,2,99,12,3,7
1,10147,3,3,1,2,99,12,3,7
1,10148,1,1,1,1,55,64,5555,55
1,10148,2,1,2,1,12,52,9999,77
1,10148,3,1,3,1,12,21,9999,77
