STATE,ST_CASE,VEH_NO,PVE_Forms,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PVINTYPE,PVINMAKE,PVINA_MOD,PVIN_BT,PVINMODYR,PVIN_LNGT,PVIN_WGT,PWGTCD_TR,PWHLBS_LG,PWHLBS_SH,PSER_TR,PFUECODE,PMCYCL_DS,PCARBUR,PCYLINDER,PDISPLACE,PMCYCL_CY,PMCYCL_WT,PTIRE_SZE,PTON_RAT,PTRK_WT,PTRKWTVAR,PVIN_REST,PWHLDRWHL,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PIMPACT2,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
6,60253,2,1,0,25,1,18,20,8,0,2,0,6,6,20,431,20431,16,2000,3GNEC16TXYG2,3,G,N,E,C,1,6,T,X,Y,G,2,P,CHEV,C15,UT,0,17,4914,,0,1300,,G,,F,8,325,,,16R245,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,0,4,14,0,0,0,0
6,60279,2,1,0,7,2,18,25,14,0,2,0,6,6,12,988,12988,58,1969,B50CLF77047,B,5,0,C,L,F,7,7,0,4,7,,T,FORD,B50,BU,69,11,,4,2605,1560,BUS,,,,,,,,,DG,,,,42,0,77,777777777,77777777777,2,21,22,1,0,0,0,0,98,0,0,0,63,63,6,2,12,0,0,0,0
6,60279,3,1,0,7,2,18,25,14,0,2,0,6,6,85,881,85881,63,1999,1NKAL69XXXR8,1,N,K,A,L,6,9,X,X,X,R,8,T,KW,T60,CC,99,17,,8,2600,1600,CON,D,,,6,855,,,,,00000,00,,64,0,6,406532,06406532,3,2,6,1,0,0,0,0,0,0,0,0,63,63,4,3,12,0,0,0,0
6,60293,2,1,0,20,2,2,18,14,0,2,0,6,6,51,881,51881,66,2005,4V4NC9TH65N3,4,V,4,N,C,9,T,H,6,5,N,3,T,VOLV,VNL,TR,5,17,,8,0,0,VVN,D,,,6,915,,,,,00000,00,,64,1,6,1209518,061209518,3,6,2,1,0,0,0,0,0,0,0,0,6,6,6,4,14,0,0,0,0
6,60317,2,1,0,23,2,19,34,44,0,2,0,6,6,12,481,12481,31,1996,1FTEX14N7TKA,1,F,T,E,X,1,4,N,7,T,K,A,T,FORD,F15,PC,96,17,,2,1550,1390,COF,G,,,8,302,,,,B,00000,00,M,44,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,5,5,4,4,12,0,0,0,0
6,60323,2,1,0,15,2,14,9,33,0,3,0,6,6,49,442,49442,20,2005,5TDZA22C55S3,5,T,D,Z,A,2,2,C,5,5,S,3,P,TOYT,SIE,SV,5,17,4165,,0,1193,,G,,F,6,201,,,15R205,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,61,61,4,4,12,0,0,0,0
6,60331,2,2,1,26,2,12,25,14,0,2,0,6,6,69,35,69035,1,2010,ZFF65LJA9A01,Z,F,F,6,5,L,J,A,9,A,0,1,P,FERR,CAL,CV,10,17,3825,,0,1051,,G,,F,8,262,,,19R245,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,63,63,4,3,12,0,0,0,0
6,60333,2,1,3,3,2,21,53,14,0,2,0,6,6,13,2,13002,2,1994,1LNLM91V7RY6,1,L,N,L,M,9,1,V,7,R,Y,6,P,LINC,MK8,CP,94,17,3768,,0,1130,,G,,F,8,281,,,16R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,6,2,14,0,0,0,1
6,60385,2,1,1,18,3,10,3,14,0,2,0,93,6,82,881,82881,66,2000,1FUPCSZB5YPF,1,F,U,P,C,S,Z,B,5,Y,P,F,T,FRHT,FLD,TR,0,17,,8,0,0,CON,D,,,6,774,,,,,00000,00,,64,1,57,794029,57794029,3,6,98,1,0,0,0,0,0,0,0,0,6,6,2,1,12,0,0,0,0
6,60391,2,1,0,6,3,7,30,33,0,2,0,6,6,12,401,12401,14,2002,1FMZU62K22ZC,1,F,M,Z,U,6,2,K,2,2,Z,C,P,FORD,EPR,UT,2,17,4094,,0,1137,,F,,F,6,245,,,16R235,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,7,2,4,12,0,0,0,0
6,60404,2,1,1,12,3,9,25,14,0,2,0,0,6,82,881,82881,66,1993,1FUYDZYB9PP4,1,F,U,Y,D,Z,Y,B,9,P,P,4,T,FRHT,FLD,TR,93,17,,8,0,0,CON,D,,,6,774,,,,,00000,00,,64,1,6,397704,06397704,3,6,1,1,0,0,0,0,0,0,0,0,6,6,6,2,12,0,0,0,0
6,60446,2,1,2,24,3,0,1,14,0,2,0,6,6,87,881,87881,63,2001,1NP5LB0X31D5,1,N,P,5,L,B,0,X,3,1,D,5,T,PTRB,379,CC,1,17,,8,0,0,CON,D,,,6,893,,,,,00000,00,,64,5,57,1005094,571005094,3,2,12,1,0,0,0,0,0,0,0,0,6,6,4,1,14,0,0,0,0
6,60463,4,3,0,3,3,7,49,12,1,2,0,6,6,20,482,20482,31,2002,3GNEC13T02G1,3,G,N,E,C,1,3,T,0,2,G,1,T,CHEV,CAV,CW,2,17,,2,0,1300,AVL,G,,,8,325,,,,B,5400,00,,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,6,4,4,14,0,0,0,0
6,60463,5,3,0,3,3,7,49,12,1,2,0,6,6,20,16,20016,4,2002,1G1JC5248271,1,G,1,J,C,5,2,4,8,2,7,1,P,CHEV,CAC,4D,2,17,2676,,0,1041,,C,,F,4,133,,,14R195,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,4,14,0,0,0,0
