ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
450889,0,0,0,0,0,0,0,0,0,0
450890,29,29,29,29,29,29,29,29,29,29
450891,0,5,0,0,0,0,0,0,0,0
450892,12,5,24,14,20,5,15,26,5,29
450893,22,22,22,22,22,22,22,22,22,22
450894,0,0,0,0,0,0,0,0,0,24
450895,17,17,17,17,17,17,17,17,17,17
450896,0,0,0,0,0,0,0,0,0,0
450897,28,28,28,28,28,28,28,28,28,28
450898,48,9,19,10,45,26,27,13,10,29
450899,0,0,0,0,0,0,0,0,0,0
450900,18,18,18,18,18,18,18,18,18,18
450901,0,0,12,0,0,0,0,12,0,0
450902,0,0,0,0,0,0,0,0,0,0
450903,0,0,0,0,0,0,0,0,0,0
450904,23,23,23,23,23,23,23,23,23,23
450905,0,0,0,0,0,0,0,0,0,0
450906,0,0,0,0,0,0,0,0,0,0
450907,0,28,24,0,13,8,4,14,24,27
450908,9,9,9,9,9,9,9,9,9,9
450909,38,6,13,17,13,18,14,27,23,23
450910,16,16,16,16,16,16,16,16,16,16
450911,0,0,0,0,0,0,0,0,0,6
450912,0,0,0,0,0,0,0,0,7,0
450913,2,2,2,2,2,2,2,2,2,2
450914,17,0,0,0,0,0,0,0,0,0
460001,0,0,0,0,0,0,0,0,0,0
460002,30,30,30,30,30,30,30,30,30,30
460003,0,0,0,0,0,0,0,0,0,0
460004,0,0,0,0,0,0,0,0,0,0
460005,27,27,27,27,27,27,27,27,27,27
460006,0,0,0,0,0,0,0,0,0,0
460007,19,19,19,19,19,19,19,19,19,19
460008,0,0,0,0,0,0,0,0,0,0
460009,0,0,0,0,0,0,0,0,0,0
460010,0,0,0,0,0,0,0,0,0,0
460011,32,32,32,32,32,32,32,32,32,32
460012,14,14,14,14,14,14,14,14,14,14
460013,24,24,24,24,24,24,24,24,24,24
460014,0,0,0,0,0,0,0,0,0,0
460015,27,27,27,27,27,27,27,27,27,27
460016,0,0,0,0,0,0,0,0,0,0
460017,0,0,0,0,0,0,0,0,0,0
460018,0,0,0,0,0,0,0,0,0,0
460019,0,0,0,0,0,0,0,0,0,0
460020,48,48,48,48,48,48,48,48,48,48
460021,0,0,0,0,0,0,0,0,0,0
460022,0,0,0,0,0,0,0,0,0,0
460023,12,12,12,12,12,12,12,12,12,12
460024,23,23,23,23,23,23,23,23,23,23
460025,0,0,0,0,0,0,0,0,0,22
460026,16,16,16,16,16,16,16,16,16,16
460027,0,0,0,0,0,0,0,0,0,0
460028,34,34,34,34,34,34,34,34,34,34
460029,10,10,10,10,10,10,10,10,10,10
460030,0,0,0,0,0,0,0,0,0,0
460031,11,11,11,11,11,11,11,11,11,11
460032,0,0,0,0,0,0,0,0,0,0
460033,0,0,0,0,0,0,0,0,0,0
460034,0,2,15,0,0,0,11,6,11,0
460035,18,18,18,18,18,18,18,18,18,18
460036,0,0,0,0,15,0,0,22,0,17
460037,15,0,0,0,0,0,0,0,0,0
460038,15,15,15,15,15,15,15,15,15,15
460040,0,0,0,0,0,0,0,0,0,0
460041,0,0,0,0,0,0,0,0,0,0
460042,25,25,25,25,25,25,25,25,25,25
460043,0,0,0,0,0,0,0,0,0,0
460044,5,5,5,5,5,5,5,5,5,5
460045,0,0,0,0,0,0,0,0,0,0
460046,0,0,0,0,0,0,0,0,0,0
460047,0,0,0,0,0,0,0,0,0,0
460048,0,0,0,0,0,0,0,0,0,0
460049,0,0,0,0,0,0,0,0,0,0
460050,0,0,0,0,0,0,0,0,0,0
460051,0,0,0,0,0,0,0,0,0,0
460052,15,15,15,15,15,15,15,15,15,15
460053,0,0,0,0,0,0,0,0,0,0
460054,0,0,0,0,0,0,0,0,0,0
460055,0,0,0,0,0,0,0,0,0,0
460056,0,0,0,0,0,0,0,0,0,0
460057,0,0,0,0,0,0,0,0,0,0
460058,0,0,0,0,0,0,0,0,0,0
460059,0,0,0,0,0,0,0,0,0,0
460060,0,0,0,0,0,0,0,0,0,0
460061,12,12,12,12,12,12,12,12,12,12
460062,12,12,12,12,12,12,12,12,12,12
460063,0,0,0,0,0,0,0,0,0,0
460064,0,0,0,0,0,0,0,0,0,0
460065,0,0,0,0,0,0,0,0,0,0
460066,0,0,0,0,0,0,0,0,0,0
460067,0,0,0,0,0,0,0,0,0,0
460068,0,0,0,0,0,0,0,0,0,0
460069,19,19,19,19,19,19,19,19,19,19
460070,0,0,0,0,0,0,0,0,0,0
460071,18,18,18,18,18,18,18,18,18,18
460072,0,0,0,0,0,0,0,0,0,0
460073,0,0,0,0,0,0,0,0,0,0
460074,0,0,0,0,0,0,0,0,0,0
460075,0,0,0,0,0,0,0,0,0,0
460076,30,30,30,30,30,30,30,30,30,30
460077,0,0,0,0,0,0,0,0,0,0
460078,0,0,0,0,0,0,0,0,0,0
