STATE,ST_CASE,EVENTNUM,VEH_NO,VEVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10116,1,1,1,1,55,68,5555,55
1,10116,2,1,2,1,55,64,5555,55
1,10116,3,1,3,1,12,19,9999,77
1,10116,4,1,4,1,12,19,9999,77
1,10117,1,1,1,1,55,63,5555,55
1,10117,2,1,2,1,55,69,5555,55
1,10117,3,1,3,1,55,68,5555,55
1,10117,4,1,4,1,55,64,5555,55
1,10117,5,1,5,1,3,30,9999,77
1,10118,1,1,1,1,55,64,5555,55
1,10118,2,1,2,1,55,65,5555,55
1,10118,3,1,3,1,55,64,5555,55
1,10118,4,1,4,1,12,32,9999,77
1,10118,5,1,5,1,55,67,5555,55
1,10118,6,1,6,1,98,58,9999,77
1,10118,7,1,7,1,12,42,9999,77
1,10118,8,1,8,1,0,1,9999,77
1,10118,9,1,9,1,12,42,9999,77
1,10119,1,1,1,1,55,68,5555,55
1,10119,2,1,2,1,55,64,5555,55
1,10119,3,1,3,1,0,1,9999,77
1,10119,4,1,4,1,0,3,9999,77
1,10120,1,1,1,1,0,5,9999,77
1,10120,2,1,2,1,6,14,2,6
1,10120,3,1,3,1,6,14,3,6
1,10120,2,2,1,1,6,14,2,6
1,10120,3,3,1,1,6,14,3,6
1,10121,1,1,1,1,12,12,2,11
1,10121,2,1,2,1,55,64,5555,55
1,10121,3,1,3,1,0,1,9999,77
1,10121,1,2,1,1,12,12,2,11
1,10122,1,1,1,1,12,8,9999,77
1,10122,2,1,2,1,0,1,9999,77
1,10123,1,1,1,1,55,68,5555,55
1,10123,2,1,2,1,4,12,2,12
1,10123,2,2,1,1,4,12,2,12
1,10124,1,1,1,1,55,63,5555,55
1,10124,2,1,2,1,12,42,9999,77
1,10125,1,1,1,2,12,12,1,4
1,10125,1,2,1,2,12,12,1,4
1,10126,1,1,1,1,55,63,5555,55
1,10126,2,1,2,1,55,67,5555,55
1,10126,3,1,3,1,12,32,9999,77
1,10126,4,1,4,1,0,3,9999,77
1,10127,1,1,1,1,0,1,9999,77
1,10127,2,1,2,1,55,64,5555,55
1,10127,3,1,3,1,98,42,9999,77
1,10128,1,1,1,1,14,8,9999,77
1,10129,1,1,1,1,55,63,5555,55
1,10129,2,1,2,1,55,69,5555,55
1,10129,3,1,3,1,55,63,5555,55
1,10129,4,1,4,1,0,1,9999,77
1,10129,5,1,5,1,13,32,9999,77
1,10129,6,1,6,1,11,42,9999,77
1,10130,1,1,1,2,12,12,1,2
1,10130,2,1,2,1,55,64,5555,55
1,10130,3,1,3,1,9,30,9999,77
1,10130,1,2,1,2,12,12,1,2
1,10130,4,2,2,2,55,63,5555,55
1,10130,5,2,3,2,12,30,9999,77
1,10130,6,2,4,2,0,1,9999,77
1,10131,1,1,1,1,55,63,5555,55
1,10131,2,1,2,1,11,32,9999,77
1,10131,3,1,3,1,0,1,9999,77
1,10131,4,1,4,1,98,41,9999,77
1,10131,5,1,5,1,13,30,9999,77
1,10132,1,1,1,1,55,63,5555,55
1,10132,2,1,2,1,55,69,5555,55
1,10132,3,1,3,1,55,64,5555,55
1,10132,4,1,4,1,1,42,9999,77
1,10132,5,1,5,1,6,42,9999,77
1,10133,1,1,1,1,55,68,5555,55
1,10133,2,1,2,1,55,64,5555,55
1,10133,3,1,3,1,12,52,9999,77
1,10133,4,1,4,1,12,42,9999,77
1,10133,5,1,5,1,98,42,9999,77
1,10133,6,1,6,1,0,1,9999,77
1,10134,1,1,1,1,55,63,5555,55
1,10134,2,1,2,1,14,32,9999,77
1,10134,3,1,3,1,12,32,9999,77
1,10134,4,1,4,1,55,67,5555,55
1,10134,5,1,5,1,98,38,9999,77
1,10134,6,1,6,1,0,1,9999,77
1,10135,1,1,1,1,1,8,9999,77
1,10136,1,1,1,1,55,68,5555,55
1,10136,2,1,2,1,12,12,2,12
1,10136,2,2,1,1,12,12,2,12
1,10137,1,1,1,1,55,63,5555,55
1,10137,2,1,2,1,6,32,9999,77
1,10137,3,1,3,1,0,1,9999,77
1,10138,1,1,1,1,55,63,5555,55
1,10138,2,1,2,1,3,42,9999,77
1,10138,3,1,3,1,5,42,9999,77
1,10138,4,1,4,1,12,42,9999,77
1,10138,5,1,5,1,98,42,9999,77
1,10138,6,1,6,1,0,2,9999,77
1,10139,1,1,1,1,55,64,5555,55
1,10139,2,1,2,1,3,42,9999,77
1,10140,1,1,1,1,55,68,5555,55
1,10140,2,1,2,1,12,12,2,12
1,10140,2,2,1,1,12,12,2,12
1,10141,1,1,1,1,55,68,5555,55
1,10141,2,1,2,1,12,12,2,12
1,10141,2,2,1,1,12,12,2,12
1,10142,1,1,1,1,55,68,5555,55
1,10142,2,1,2,1,55,64,5555,55
1,10142,3,1,3,1,11,42,9999,77
1,10142,4,1,4,1,0,2,9999,77
1,10143,1,1,1,1,55,68,5555,55
1,10143,2,1,2,1,12,12,2,12
1,10143,2,2,1,1,12,12,2,12
1,10144,1,1,1,1,55,68,5555,55
1,10144,2,1,2,1,12,12,2,12
1,10144,2,2,1,1,12,12,2,12
1,10145,1,1,1,1,12,8,9999,77
1,10145,2,2,1,2,14,8,9999,77
1,10146,1,1,1,1,55,68,5555,55
1,10146,2,1,2,1,12,12,2,6
1,10146,3,1,3,1,0,1,9999,77
1,10146,2,2,1,1,12,12,2,6
1,10147,1,1,1,1,55,64,5555,55
1,10147,2,1,2,1,55,65,5555,55
