ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
480904,16,0,0,0,0,0,0,0,0,0
480905,0,2,0,11,10,16,0,20,9,0
480906,0,0,17,0,0,0,26,0,0,19
480907,6,0,0,9,0,0,0,7,23,11
480908,16,11,11,0,8,0,0,0,0,0
480909,23,23,23,23,23,23,23,23,23,23
480910,0,0,0,0,0,0,0,0,0,0
480911,0,0,0,0,0,0,0,0,0,0
480912,11,11,11,14,11,11,11,11,11,11
480913,0,0,0,0,0,0,0,0,0,0
480914,0,0,0,0,0,0,0,0,0,0
480915,0,0,0,0,0,12,23,9,0,0
480916,0,0,0,0,0,0,0,4,0,14
480917,11,11,11,11,11,11,11,11,11,11
480918,28,17,9,31,9,12,18,15,18,21
480919,13,12,14,25,11,11,24,19,22,27
480920,0,0,0,0,0,0,0,0,0,22
480921,14,0,0,0,0,0,12,0,0,0
480922,0,0,0,0,0,0,0,0,0,0
480923,0,0,0,0,0,0,0,5,6,0
480924,13,13,13,13,13,13,13,13,13,13
480925,22,22,22,22,22,22,22,22,22,22
480926,0,31,0,12,0,8,0,0,0,0
480927,17,20,18,22,18,13,0,5,19,21
480928,0,0,0,0,0,0,0,0,0,0
480929,0,21,14,15,18,9,0,7,0,0
480930,0,0,0,0,0,0,0,0,0,0
480931,0,0,0,0,0,0,0,0,0,0
480932,0,0,0,0,11,0,0,8,7,0
480933,0,0,0,0,0,0,0,0,0,0
480934,0,15,0,0,0,0,0,0,0,0
480935,11,11,11,11,11,11,11,11,11,11
480936,23,0,20,0,0,0,0,34,0,0
480937,0,0,0,19,0,0,0,0,0,0
480938,0,0,0,10,0,0,0,0,0,0
480939,0,4,0,0,0,0,0,0,0,0
480940,0,0,0,0,0,0,0,0,0,0
480941,10,5,5,5,14,5,26,5,5,5
480942,29,16,0,0,0,19,0,11,31,0
480943,25,25,25,25,25,25,25,25,25,25
480944,1,1,1,1,1,1,1,1,1,21
480945,0,0,0,0,0,0,0,0,0,0
480946,1,1,1,1,1,1,1,1,1,1
480947,18,18,18,18,18,18,18,18,18,18
480948,0,15,0,0,15,0,0,0,0,23
480949,17,17,17,17,17,17,17,17,17,17
480950,23,23,23,23,23,23,23,23,23,23
480951,13,13,13,13,13,13,13,13,13,13
480952,0,0,0,0,0,0,0,0,0,0
480953,0,17,14,0,0,0,0,17,0,0
