ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROAD_FNC,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN
410075,2,0,2,51,5,3,2013,18,13,2,45.47701944,-122.3969389,12,6,2,2,1,0,1,1,0,1,0,45,2,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,0
410076,1,0,1,51,5,3,2013,22,13,3,45.47162778,-122.6805361,30,0,1,1,4,0,3,10,0,1,1,45,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410077,2,0,2,45,5,5,2013,9,2,2,43.98870833,-117.0057083,12,6,2,2,1,0,1,10,0,1,0,36,1,1,0,0,0,9,1,0,0,0,1,0,0,0.0,1,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,0
410078,1,1,1,67,5,7,2013,0,3,3,45.45398056,-122.9911667,8,0,1,1,1,0,2,98,0,1,0,32,1,1,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410079,1,0,1,57,5,2,2013,6,2,2,45.55785278,-123.8967583,35,0,1,1,4,0,4,10,0,1,1,20,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410080,2,0,2,39,5,5,2013,20,2,3,44.05268611,-123.3058194,12,2,1,1,1,0,1,10,0,1,0,37,2,0,0,0,1,9,1,0,0,0,1,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410081,1,0,1,39,5,7,2013,6,4,8,43.97345833,-122.5719944,35,0,1,1,5,0,1,1,0,1,1,22,1,0,0,0,0,9,0,0,0,0,0,0,1,0.0,1,999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410082,2,0,6,59,5,7,2013,15,4,4,45.90869722,-119.1666917,1,0,1,1,1,0,1,1,0,1,1,19,3,3,0,0,1,9,2,0,0,0,0,0,0,0.0,1,999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0
410083,1,0,1,5,5,7,2013,15,14,6,45.37108889,-122.5850694,24,0,1,1,4,0,1,1,0,1,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,999,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410084,2,0,3,67,5,1,2013,15,3,3,45.46655556,-123.0026,12,6,2,3,1,0,1,10,0,2,0,38,2,1,0,0,0,9,1,1,0,0,0,0,0,0.0,0,999,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0
410085,2,0,3,51,5,1,2013,2,14,6,45.51288611,-122.6455889,12,6,2,2,1,0,3,2,0,1,2,27,2,1,0,0,0,9,0,1,1,0,0,0,0,0.0,0,999,1,1,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,1,0,99,11
410086,3,0,4,39,5,3,2013,12,2,3,43.67969722,-122.2445556,12,6,1,1,1,0,1,10,0,1,0,54,3,1,0,0,0,0,0,2,0,0,1,0,0,0.0,1,999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,99,0
